record_id,condition,sequence_type,category,word_list,target_positions,correct_answer,predicted_answer,is_correct,full_response,prompt
0,positive_control_1,A,fruits,"['banana', 'mirror', 'apple', 'keyboard', 'strawberry', 'book']","[0, 2, 4]",3,3,True,"Count the number of words in the following list that match the given type, and put the numerical answer in parentheses.
    Type: fruits
    List: [banana mirror apple keyboard strawberry book]
    Answer: (3)

<","Count the number of words in the following list that match the given type, and put the numerical answer in parentheses.
    Type: fruits
    List: [banana mirror apple keyboard strawberry book]
    Answer: ("
0,positive_control_1,B,cities,"['Toronto', 'computer', 'Rio', 'bottle', 'Cairo', 'lamp']","[0, 2, 4]",3,2,False,"Count the number of words in the following list that match the given type, and put the numerical answer in parentheses.
    Type: cities
    List: [Toronto computer Rio bottle Cairo lamp]
    Answer: (2)

<","Count the number of words in the following list that match the given type, and put the numerical answer in parentheses.
    Type: cities
    List: [Toronto computer Rio bottle Cairo lamp]
    Answer: ("
1,positive_control_1,A,fruits,"['watermelon', 'lamp', 'cherry', 'clock', 'orange', 'bicycle']","[0, 2, 4]",3,3,True,"Count the number of words in the following list that match the given type, and put the numerical answer in parentheses.
    Type: fruits
    List: [watermelon lamp cherry clock orange bicycle]
    Answer: (3)**
<|","Count the number of words in the following list that match the given type, and put the numerical answer in parentheses.
    Type: fruits
    List: [watermelon lamp cherry clock orange bicycle]
    Answer: ("
1,positive_control_1,B,animals,"['horse', 'lamp', 'rabbit', 'clock', 'cat', 'phone']","[0, 2, 4]",3,3,True,"Count the number of words in the following list that match the given type, and put the numerical answer in parentheses.
    Type: animals
    List: [horse lamp rabbit clock cat phone]
    Answer: (3)**
<|","Count the number of words in the following list that match the given type, and put the numerical answer in parentheses.
    Type: animals
    List: [horse lamp rabbit clock cat phone]
    Answer: ("
2,positive_control_1,A,fruits,"['pineapple', 'bottle', 'apple', 'lamp', 'cherry', 'book']","[0, 2, 4]",3,3,True,"Count the number of words in the following list that match the given type, and put the numerical answer in parentheses.
    Type: fruits
    List: [pineapple bottle apple lamp cherry book]
    Answer: (3)","Count the number of words in the following list that match the given type, and put the numerical answer in parentheses.
    Type: fruits
    List: [pineapple bottle apple lamp cherry book]
    Answer: ("
2,positive_control_1,B,sports,"['tennis', 'bicycle', 'baseball', 'mirror', 'cycling', 'keyboard']","[0, 2, 4]",3,4,False,"Count the number of words in the following list that match the given type, and put the numerical answer in parentheses.
    Type: sports
    List: [tennis bicycle baseball mirror cycling keyboard]
    Answer: (4)","Count the number of words in the following list that match the given type, and put the numerical answer in parentheses.
    Type: sports
    List: [tennis bicycle baseball mirror cycling keyboard]
    Answer: ("
3,positive_control_1,A,fruits,"['banana', 'computer', 'grape', 'keyboard', 'watermelon', 'lamp']","[0, 2, 4]",3,3,True,"Count the number of words in the following list that match the given type, and put the numerical answer in parentheses.
    Type: fruits
    List: [banana computer grape keyboard watermelon lamp]
    Answer: (3)**
<|","Count the number of words in the following list that match the given type, and put the numerical answer in parentheses.
    Type: fruits
    List: [banana computer grape keyboard watermelon lamp]
    Answer: ("
3,positive_control_1,B,professions,"['firefighter', 'keyboard', 'mechanic', 'mirror', 'architect', 'lamp']","[0, 2, 4]",3,4,False,"Count the number of words in the following list that match the given type, and put the numerical answer in parentheses.
    Type: professions
    List: [firefighter keyboard mechanic mirror architect lamp]
    Answer: (4)
    <","Count the number of words in the following list that match the given type, and put the numerical answer in parentheses.
    Type: professions
    List: [firefighter keyboard mechanic mirror architect lamp]
    Answer: ("
4,positive_control_1,A,cities,"['Mumbai', 'phone', 'Berlin', 'keyboard', 'Rio', 'lamp']","[0, 2, 4]",3,2,False,"Count the number of words in the following list that match the given type, and put the numerical answer in parentheses.
    Type: cities
    List: [Mumbai phone Berlin keyboard Rio lamp]
    Answer: (2)
    <","Count the number of words in the following list that match the given type, and put the numerical answer in parentheses.
    Type: cities
    List: [Mumbai phone Berlin keyboard Rio lamp]
    Answer: ("
4,positive_control_1,B,fruits,"['watermelon', 'clock', 'banana', 'chair', 'pineapple', 'bottle']","[0, 2, 4]",3,3,True,"Count the number of words in the following list that match the given type, and put the numerical answer in parentheses.
    Type: fruits
    List: [watermelon clock banana chair pineapple bottle]
    Answer: (3)","Count the number of words in the following list that match the given type, and put the numerical answer in parentheses.
    Type: fruits
    List: [watermelon clock banana chair pineapple bottle]
    Answer: ("
5,positive_control_1,A,cities,"['Berlin', 'phone', 'Tokyo', 'mirror', 'London', 'book']","[0, 2, 4]",3,3,True,"Count the number of words in the following list that match the given type, and put the numerical answer in parentheses.
    Type: cities
    List: [Berlin phone Tokyo mirror London book]
    Answer: (3)

<","Count the number of words in the following list that match the given type, and put the numerical answer in parentheses.
    Type: cities
    List: [Berlin phone Tokyo mirror London book]
    Answer: ("
